,Unnamed: 0,origin,fl_date,dep_delay,delay,dep_delay_avg,score,mean,std,anormal_day
21322,4615549,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21323,4615952,CMH,2010-09-22,2.0,2.0,9.8625,0.9080846913,1.646217979599999,0.6439050698813163,0
21324,4616672,CMH,2010-09-22,7.0,7.0,9.8625,0.886743392,1.646217979599999,0.6439050698813163,0
21325,4616899,CMH,2010-09-22,-4.0,0.0,9.8625,2.0670473265,1.646217979599999,0.6439050698813163,0
21326,4616920,CMH,2010-09-22,-5.0,0.0,9.8625,2.1614692636,1.646217979599999,0.6439050698813163,0
21327,4617498,CMH,2010-09-22,10.0,10.0,9.8625,0.9132279687,1.646217979599999,0.6439050698813163,0
21328,4618760,CMH,2010-09-22,-9.0,0.0,9.8625,2.454261443,1.646217979599999,0.6439050698813163,0
21329,4618957,CMH,2010-09-22,15.0,15.0,9.8625,0.917754328,1.646217979599999,0.6439050698813163,0
21330,4619311,CMH,2010-09-22,10.0,10.0,9.8625,0.9132279687,1.646217979599999,0.6439050698813163,0
21331,4619341,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21332,4619430,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21333,4619472,CMH,2010-09-22,-1.0,0.0,9.8625,1.6443095196,1.646217979599999,0.6439050698813163,0
21334,4619600,CMH,2010-09-22,-1.0,0.0,9.8625,1.6443095196,1.646217979599999,0.6439050698813163,0
21335,4619878,CMH,2010-09-22,-10.0,0.0,9.8625,2.5143043724,1.646217979599999,0.6439050698813163,0
21336,4619906,CMH,2010-09-22,-6.0,0.0,9.8625,2.245111501,1.646217979599999,0.6439050698813163,0
21337,4620035,CMH,2010-09-22,-1.0,0.0,9.8625,1.6443095196,1.646217979599999,0.6439050698813163,0
21338,4621957,CMH,2010-09-22,-8.0,0.0,9.8625,2.3900193104,1.646217979599999,0.6439050698813163,0
21339,4622504,CMH,2010-09-22,-9.0,0.0,9.8625,2.454261443,1.646217979599999,0.6439050698813163,0
21340,4622505,CMH,2010-09-22,-6.0,0.0,9.8625,2.245111501,1.646217979599999,0.6439050698813163,0
21341,4622506,CMH,2010-09-22,7.0,7.0,9.8625,0.886743392,1.646217979599999,0.6439050698813163,0
21342,4623345,CMH,2010-09-22,-3.0,0.0,9.8625,1.9572411161,1.646217979599999,0.6439050698813163,0
21343,4623385,CMH,2010-09-23,7.0,7.0,14.048192771084338,0.886743392,1.6548046511638554,0.7469636878803286,0
21344,4623390,CMH,2010-09-23,-7.0,0.0,14.048192771084338,2.3207065685,1.6548046511638554,0.7469636878803286,0
21345,4623451,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21346,4623586,CMH,2010-09-23,45.0,45.0,14.048192771084338,1.1264532024,1.6548046511638554,0.7469636878803286,0
21347,4623836,CMH,2010-09-23,-7.0,0.0,14.048192771084338,2.3207065685,1.6548046511638554,0.7469636878803286,0
21348,4623992,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21349,4624716,CMH,2010-09-23,18.0,18.0,14.048192771084338,0.9398343112,1.6548046511638554,0.7469636878803286,0
21350,4624943,CMH,2010-09-23,51.0,51.0,14.048192771084338,1.1934092215,1.6548046511638554,0.7469636878803286,0
21351,4624964,CMH,2010-09-23,631.0,631.0,14.048192771084338,5.9831969681,1.6548046511638554,0.7469636878803286,1
21352,4625543,CMH,2010-09-23,4.0,4.0,14.048192771084338,0.9598731623,1.6548046511638554,0.7469636878803286,0
21353,4626900,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21354,4627121,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21355,4627488,CMH,2010-09-23,15.0,15.0,14.048192771084338,0.917754328,1.6548046511638554,0.7469636878803286,0
21356,4627518,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21357,4627606,CMH,2010-09-23,-3.0,0.0,14.048192771084338,1.9572411161,1.6548046511638554,0.7469636878803286,0
21358,4627651,CMH,2010-09-23,-3.0,0.0,14.048192771084338,1.9572411161,1.6548046511638554,0.7469636878803286,0
21359,4627784,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21360,4627877,CMH,2010-09-23,26.0,26.0,14.048192771084338,0.964189903,1.6548046511638554,0.7469636878803286,0
21361,4628062,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21362,4628089,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21363,4628220,CMH,2010-09-23,0.0,0.0,14.048192771084338,0.6283725781,1.6548046511638554,0.7469636878803286,0
21364,4630155,CMH,2010-09-23,-8.0,0.0,14.048192771084338,2.3900193104,1.6548046511638554,0.7469636878803286,0
21365,4630724,CMH,2010-09-23,-7.0,0.0,14.048192771084338,2.3207065685,1.6548046511638554,0.7469636878803286,0
21366,4630725,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21367,4630726,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21368,4630727,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21369,4631624,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21370,4631817,CMH,2010-09-23,2.0,2.0,14.048192771084338,0.9080846913,1.6548046511638554,0.7469636878803286,0
21371,4632125,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21372,4632149,CMH,2010-09-23,64.0,64.0,14.048192771084338,1.3547304624,1.6548046511638554,0.7469636878803286,0
21373,4632156,CMH,2010-09-23,-3.0,0.0,14.048192771084338,1.9572411161,1.6548046511638554,0.7469636878803286,0
21374,4632160,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21375,4632162,CMH,2010-09-23,-8.0,0.0,14.048192771084338,2.3900193104,1.6548046511638554,0.7469636878803286,0
21376,4632172,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21377,4632184,CMH,2010-09-23,0.0,0.0,14.048192771084338,0.6283725781,1.6548046511638554,0.7469636878803286,0
21378,4632193,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21379,4632229,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21380,4632282,CMH,2010-09-23,23.0,23.0,14.048192771084338,0.9901263492,1.6548046511638554,0.7469636878803286,0
21381,4632402,CMH,2010-09-23,-7.0,0.0,14.048192771084338,2.3207065685,1.6548046511638554,0.7469636878803286,0
21382,4632410,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21383,4632418,CMH,2010-09-23,9.0,9.0,14.048192771084338,0.8964244714,1.6548046511638554,0.7469636878803286,0
21384,4632427,CMH,2010-09-23,-3.0,0.0,14.048192771084338,1.9572411161,1.6548046511638554,0.7469636878803286,0
21385,4632430,CMH,2010-09-23,3.0,3.0,14.048192771084338,0.9121043305,1.6548046511638554,0.7469636878803286,0
21386,4632435,CMH,2010-09-23,-7.0,0.0,14.048192771084338,2.3207065685,1.6548046511638554,0.7469636878803286,0
21387,4632438,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21388,4632526,CMH,2010-09-23,5.0,5.0,14.048192771084338,0.928464815,1.6548046511638554,0.7469636878803286,0
21389,4632766,CMH,2010-09-23,125.0,125.0,14.048192771084338,1.8899505908,1.6548046511638554,0.7469636878803286,0
21390,4633913,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21391,4633964,CMH,2010-09-23,5.0,5.0,14.048192771084338,0.928464815,1.6548046511638554,0.7469636878803286,0
21392,4634983,CMH,2010-09-23,-6.0,0.0,14.048192771084338,2.245111501,1.6548046511638554,0.7469636878803286,0
21393,4635211,CMH,2010-09-23,-4.0,0.0,14.048192771084338,2.0670473265,1.6548046511638554,0.7469636878803286,0
21394,4635983,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21395,4635984,CMH,2010-09-23,2.0,2.0,14.048192771084338,0.9080846913,1.6548046511638554,0.7469636878803286,0
21396,4637332,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21397,4637333,CMH,2010-09-23,1.0,1.0,14.048192771084338,0.9019437343,1.6548046511638554,0.7469636878803286,0
21398,4637334,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21399,4637335,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21400,4637336,CMH,2010-09-23,2.0,2.0,14.048192771084338,0.9080846913,1.6548046511638554,0.7469636878803286,0
21401,4637337,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21402,4637338,CMH,2010-09-23,14.0,14.0,14.048192771084338,0.9440563029,1.6548046511638554,0.7469636878803286,0
21403,4637339,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21404,4637340,CMH,2010-09-23,13.0,13.0,14.048192771084338,0.9055310861,1.6548046511638554,0.7469636878803286,0
21405,4637341,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21406,4637342,CMH,2010-09-23,0.0,0.0,14.048192771084338,0.6283725781,1.6548046511638554,0.7469636878803286,0
21407,4637343,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21408,4637344,CMH,2010-09-23,3.0,3.0,14.048192771084338,0.9121043305,1.6548046511638554,0.7469636878803286,0
21409,4637345,CMH,2010-09-23,29.0,29.0,14.048192771084338,0.949033291,1.6548046511638554,0.7469636878803286,0
21410,4637346,CMH,2010-09-23,5.0,5.0,14.048192771084338,0.928464815,1.6548046511638554,0.7469636878803286,0
21411,4637347,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21412,4637348,CMH,2010-09-23,20.0,20.0,14.048192771084338,0.9751950797,1.6548046511638554,0.7469636878803286,0
21413,4637349,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21414,4637350,CMH,2010-09-23,1.0,1.0,14.048192771084338,0.9019437343,1.6548046511638554,0.7469636878803286,0
21415,4637351,CMH,2010-09-23,0.0,0.0,14.048192771084338,0.6283725781,1.6548046511638554,0.7469636878803286,0
21416,4637352,CMH,2010-09-23,23.0,23.0,14.048192771084338,0.9901263492,1.6548046511638554,0.7469636878803286,0
21417,4637353,CMH,2010-09-23,7.0,7.0,14.048192771084338,0.886743392,1.6548046511638554,0.7469636878803286,0
21418,4637354,CMH,2010-09-23,-1.0,0.0,14.048192771084338,1.6443095196,1.6548046511638554,0.7469636878803286,0
21419,4640147,CMH,2010-09-23,-7.0,0.0,14.048192771084338,2.3207065685,1.6548046511638554,0.7469636878803286,0
21420,4640545,CMH,2010-09-23,-9.0,0.0,14.048192771084338,2.454261443,1.6548046511638554,0.7469636878803286,0
21421,4640886,CMH,2010-09-23,13.0,13.0,14.048192771084338,0.9055310861,1.6548046511638554,0.7469636878803286,0
21422,4640935,CMH,2010-09-23,-3.0,0.0,14.048192771084338,1.9572411161,1.6548046511638554,0.7469636878803286,0
21423,4641022,CMH,2010-09-23,-2.0,0.0,14.048192771084338,1.8232503824,1.6548046511638554,0.7469636878803286,0
21424,4641109,CMH,2010-09-23,-3.0,0.0,14.048192771084338,1.9572411161,1.6548046511638554,0.7469636878803286,0
21425,4641115,CMH,2010-09-23,-5.0,0.0,14.048192771084338,2.1614692636,1.6548046511638554,0.7469636878803286,0
21426,4641820,CMH,2010-09-24,-2.0,0.0,7.152941176470589,1.8232503824,1.781370944149411,0.6031584999883453,0
21427,4642129,CMH,2010-09-24,-6.0,0.0,7.152941176470589,2.245111501,1.781370944149411,0.6031584999883453,0
21428,4642153,CMH,2010-09-24,-5.0,0.0,7.152941176470589,2.1614692636,1.781370944149411,0.6031584999883453,0
21429,4642160,CMH,2010-09-24,-3.0,0.0,7.152941176470589,1.9572411161,1.781370944149411,0.6031584999883453,0
21430,4642164,CMH,2010-09-24,-1.0,0.0,7.152941176470589,1.6443095196,1.781370944149411,0.6031584999883453,0
21431,4642166,CMH,2010-09-24,-4.0,0.0,7.152941176470589,2.0670473265,1.781370944149411,0.6031584999883453,0
21432,4642176,CMH,2010-09-24,-7.0,0.0,7.152941176470589,2.3207065685,1.781370944149411,0.6031584999883453,0
21433,4642189,CMH,2010-09-24,7.0,7.0,7.152941176470589,0.886743392,1.781370944149411,0.6031584999883453,0
21434,4642198,CMH,2010-09-24,-8.0,0.0,7.152941176470589,2.3900193104,1.781370944149411,0.6031584999883453,0
21435,4642234,CMH,2010-09-24,-4.0,0.0,7.152941176470589,2.0670473265,1.781370944149411,0.6031584999883453,0
21436,4642287,CMH,2010-09-24,-4.0,0.0,7.152941176470589,2.0670473265,1.781370944149411,0.6031584999883453,0
21437,4642406,CMH,2010-09-24,-6.0,0.0,7.152941176470589,2.245111501,1.781370944149411,0.6031584999883453,0
21438,4642414,CMH,2010-09-24,-7.0,0.0,7.152941176470589,2.3207065685,1.781370944149411,0.6031584999883453,0
